acci_name_ar,acci_name_normalized,count,incident_type_ar,severity_ar,incident_type_en,severity_label_en,incident_type_code,severity_code,severity_weight,is_severity_known,include_in_eda,exclude_reason,review_status,notes
حادث صدم عمود- بسيط,حادث صدم عمود - بسيط,22034,صدم عمود,بسيط,hit pole,minor,hit_pole,minor,1,true,true,,translated_reviewed,
صدم رصيف - بسيط,صدم رصيف - بسيط,17905,صدم رصيف,بسيط,hit curb,minor,hit_curb,minor,1,true,true,,translated_reviewed,
الصدم والهروب - بسيط,الصدم والهروب - بسيط,16915,الصدم والهروب,بسيط,hit and run,minor,hit_and_run,minor,1,true,true,,translated_reviewed,
وجود جسم في الشارع - بسيط,وجود جسم في الشارع - بسيط,15388,وجود جسم في الشارع,بسيط,object in road,minor,object_in_road,minor,1,true,true,,translated_reviewed,
حادث صدم جدار- بسيط,حادث صدم جدار - بسيط,15302,صدم جدار,بسيط,hit wall,minor,hit_wall,minor,1,true,true,,translated_reviewed,
حادث ضد مجهول- بسيط,حادث ضد مجهول - بسيط,14982,ضد مجهول,بسيط,incident involving unknown party,minor,unknown_party_incident,minor,1,true,true,,translated_reviewed,Dubai Police category; verify exact operational meaning if used in final report.
حادث صدم و هروب- بسيط,حادث صدم و هروب - بسيط,14693,صدم و هروب,بسيط,hit and run,minor,hit_and_run,minor,1,true,true,,translated_reviewed,
صدم دراجة نارية - بسيط,صدم دراجة نارية - بسيط,12323,صدم دراجة نارية,بسيط,hit motorcycle,minor,hit_motorcycle,minor,1,true,true,,translated_reviewed,
صدم دراجة نارية - بليغ,صدم دراجة نارية - بليغ,11242,صدم دراجة نارية,بليغ,hit motorcycle,severe,hit_motorcycle,severe,3,true,true,,translated_reviewed,
حادث صدم حاجز- بسيط,حادث صدم حاجز - بسيط,10786,صدم حاجز,بسيط,hit barrier,minor,hit_barrier,minor,1,true,true,,translated_reviewed,
تعطل مركبة ثقيلة - بسيط,تعطل مركبة ثقيلة - بسيط,10169,تعطل مركبة ثقيلة,بسيط,heavy vehicle breakdown,minor,heavy_vehicle_breakdown,minor,1,true,true,,translated_reviewed,
حادث صدم رصيف- بسيط,حادث صدم رصيف - بسيط,9046,صدم رصيف,بسيط,hit curb,minor,hit_curb,minor,1,true,true,,translated_reviewed,
اصطدام بين مركبتين - بليغ,اصطدام بين مركبتين - بليغ,8884,اصطدام بين مركبتين,بليغ,two-vehicle collision,severe,two_vehicle_collision,severe,3,true,true,,translated_reviewed,
ازدحام مروري - بسيط,ازدحام مروري - بسيط,8763,ازدحام مروري,بسيط,traffic congestion,minor,traffic_congestion,minor,1,true,true,,translated_reviewed,
اصطدام بين عدة مركبات - بسيط,اصطدام بين عدة مركبات - بسيط,8301,اصطدام بين عدة مركبات,بسيط,multi-vehicle collision,minor,multi_vehicle_collision,minor,1,true,true,,translated_reviewed,
وجود جسم في الشارع,وجود جسم في الشارع,7556,وجود جسم في الشارع,,object in road,not specified,object_in_road,unknown,0,false,true,,translated_reviewed,
حادث اصطدام بين عدة سيارات- بسيط,حادث اصطدام بين عدة سيارات - بسيط,5712,اصطدام بين عدة سيارات,بسيط,multi-vehicle collision,minor,multi_vehicle_collision,minor,1,true,true,,translated_reviewed,
الاستعراضات والتفحيط - بسيط,الاستعراضات والتفحيط - بسيط,5575,الاستعراضات والتفحيط,بسيط,stunt driving and drifting,minor,stunt_driving_drifting,minor,1,true,true,,translated_reviewed,
طلب ثبات دورية في موقع عمل على الطريق العام - بسيط,طلب ثبات دورية في موقع عمل على الطريق العام - بسيط,5133,طلب ثبات دورية في موقع عمل على الطريق العام,بسيط,request for patrol presence at roadwork site,minor,patrol_presence_roadwork_site,minor,1,true,true,,translated_reviewed,
صدم باب - بسيط,صدم باب - بسيط,4641,صدم باب,بسيط,hit door,minor,hit_door,minor,1,true,true,,translated_reviewed,
دهس - بسيط,دهس - بسيط,4600,دهس,بسيط,pedestrian collision,minor,pedestrian_collision,minor,1,true,true,,translated_reviewed,
حادث صدم دراجة- بسيط,حادث صدم دراجة - بسيط,4584,صدم دراجة,بسيط,"hit two-wheeler, unspecified",minor,hit_two_wheeler_unspecified,minor,1,true,true,,reviewed_conservative,Arabic source says two-wheeler generically; retained without forcing bicycle vs motorcycle.
تدهور دراجة نارية - بليغ,تدهور دراجة نارية - بليغ,4581,تدهور دراجة نارية,بليغ,motorcycle rollover,severe,motorcycle_rollover,severe,3,true,true,,translated_reviewed,
تطاير أجسام على مركبة,تطاير أجسام على مركبة,4381,تطاير أجسام على مركبة,,falling or flying objects hitting vehicle,not specified,falling_flying_objects_hit_vehicle,unknown,0,false,true,,translated_reviewed,
تعطل اشارة ضوئية - بسيط,تعطل اشارة ضوئية - بسيط,4173,تعطل اشارة ضوئية,بسيط,traffic signal malfunction,minor,traffic_signal_malfunction,minor,1,true,true,,translated_reviewed,
دهس - بليغ,دهس - بليغ,4079,دهس,بليغ,pedestrian collision,severe,pedestrian_collision,severe,3,true,true,,translated_reviewed,
تدهور دراجة نارية - بسيط,تدهور دراجة نارية - بسيط,4036,تدهور دراجة نارية,بسيط,motorcycle rollover,minor,motorcycle_rollover,minor,1,true,true,,translated_reviewed,
صدم دراجة هوائية - بسيط,صدم دراجة هوائية - بسيط,3791,صدم دراجة هوائية,بسيط,hit bicycle,minor,hit_bicycle,minor,1,true,true,,translated_reviewed,
حادث اصطدام بين سيارتين- بليغ,حادث اصطدام بين سيارتين - بليغ,3122,اصطدام بين سيارتين,بليغ,two-vehicle collision,severe,two_vehicle_collision,severe,3,true,true,,translated_reviewed,
اصطدام بين عدة مركبات - بليغ,اصطدام بين عدة مركبات - بليغ,2777,اصطدام بين عدة مركبات,بليغ,multi-vehicle collision,severe,multi_vehicle_collision,severe,3,true,true,,translated_reviewed,
سقوط وتطاير أجسام على مركبة أثناء سيرها - بسيط,سقوط وتطاير أجسام على مركبة أثناء سيرها - بسيط,2540,سقوط وتطاير أجسام على مركبة أثناء سيرها,بسيط,falling or flying objects hitting vehicle,minor,falling_flying_objects_hit_vehicle,minor,1,true,true,,translated_reviewed,
حيوانات سائبة على الطريق العام - بسيط,حيوانات سائبة على الطريق العام - بسيط,2502,حيوانات سائبة على الطريق العام,بسيط,stray animals on public road,minor,stray_animals_on_road,minor,1,true,true,,translated_reviewed,
حادث صدم دراجة- بليغ,حادث صدم دراجة - بليغ,2485,صدم دراجة,بليغ,"hit two-wheeler, unspecified",severe,hit_two_wheeler_unspecified,severe,3,true,true,,reviewed_conservative,Arabic source says two-wheeler generically; retained without forcing bicycle vs motorcycle.
تعطل مركبة نقل أموال - بسيط,تعطل مركبة نقل أموال - بسيط,2156,تعطل مركبة نقل أموال,بسيط,cash transport vehicle breakdown,minor,cash_transport_vehicle_breakdown,minor,1,true,true,,translated_reviewed,
تدهور مركبة خفيفة - بسيط,تدهور مركبة خفيفة - بسيط,2145,تدهور مركبة خفيفة,بسيط,light vehicle rollover,minor,light_vehicle_rollover,minor,1,true,true,,translated_reviewed,
صدم علامة مرورية - بسيط,صدم علامة مرورية - بسيط,2122,صدم علامة مرورية,بسيط,hit traffic sign,minor,hit_traffic_sign,minor,1,true,true,,translated_reviewed,
صدم شجرة - بسيط,صدم شجرة - بسيط,2085,صدم شجرة,بسيط,hit tree,minor,hit_tree,minor,1,true,true,,translated_reviewed,
تعطل اشارة ضوئية,تعطل اشارة ضوئية,1761,تعطل اشارة ضوئية,,traffic signal malfunction,not specified,traffic_signal_malfunction,unknown,0,false,true,,translated_reviewed,
تدهور مركبة ثقيلة - بسيط,تدهور مركبة ثقيلة - بسيط,1757,تدهور مركبة ثقيلة,بسيط,heavy vehicle rollover,minor,heavy_vehicle_rollover,minor,1,true,true,,translated_reviewed,
صدم دراجة هوائية - بليغ,صدم دراجة هوائية - بليغ,1623,صدم دراجة هوائية,بليغ,hit bicycle,severe,hit_bicycle,severe,3,true,true,,translated_reviewed,
حادث حريق في مركبة- بسيط,حادث حريق في مركبة - بسيط,1575,حريق في مركبة,بسيط,vehicle fire,minor,vehicle_fire,minor,1,true,true,,translated_reviewed,
عبور شخص أو عدة أشخاص من مكان غير مخصص لعبور المشا,عبور شخص أو عدة أشخاص من مكان غير مخصص لعبور المشا,1396,عبور شخص أو عدة أشخاص من مكان غير مخصص لعبور المشا,,pedestrian crossing at non-designated location,not specified,unauthorized_pedestrian_crossing,unknown,0,false,true,,translated_reviewed,
تدهور دراجة هوائية - بليغ,تدهور دراجة هوائية - بليغ,1266,تدهور دراجة هوائية,بليغ,bicycle rollover,severe,bicycle_rollover,severe,3,true,true,,translated_reviewed,
حادث صدم لوحة إرشادية- بسيط,حادث صدم لوحة إرشادية - بسيط,1181,صدم لوحة إرشادية,بسيط,hit guide sign,minor,hit_guide_sign,minor,1,true,true,,translated_reviewed,
حادث ضد مجهول - بسيط,حادث ضد مجهول - بسيط,1168,ضد مجهول,بسيط,incident involving unknown party,minor,unknown_party_incident,minor,1,true,true,,translated_reviewed,Dubai Police category; verify exact operational meaning if used in final report.
تدهور مركبة خفيفة - بليغ,تدهور مركبة خفيفة - بليغ,1148,تدهور مركبة خفيفة,بليغ,light vehicle rollover,severe,light_vehicle_rollover,severe,3,true,true,,translated_reviewed,
حادث دهس رجل- بليغ,حادث دهس رجل - بليغ,1092,دهس رجل,بليغ,pedestrian collision involving man,severe,pedestrian_collision_man,severe,3,true,true,,translated_reviewed,
حادث اصطدام بين سيارتين- متوسط,حادث اصطدام بين سيارتين - متوسط,1080,اصطدام بين سيارتين,متوسط,two-vehicle collision,moderate,two_vehicle_collision,moderate,2,true,true,,translated_reviewed,
صدم حاجز - بليغ,صدم حاجز - بليغ,1071,صدم حاجز,بليغ,hit barrier,severe,hit_barrier,severe,3,true,true,,translated_reviewed,
صدم حيوان - بسيط,صدم حيوان - بسيط,1018,صدم حيوان,بسيط,hit animal,minor,hit_animal,minor,1,true,true,,translated_reviewed,
حادث تدهور مركبة خفيفة- بسيط,حادث تدهور مركبة خفيفة - بسيط,1013,تدهور مركبة خفيفة,بسيط,light vehicle rollover,minor,light_vehicle_rollover,minor,1,true,true,,translated_reviewed,
حادث اصطدام بين عدة سيارات- بليغ,حادث اصطدام بين عدة سيارات - بليغ,1009,اصطدام بين عدة سيارات,بليغ,multi-vehicle collision,severe,multi_vehicle_collision,severe,3,true,true,,translated_reviewed,
حادث دهس رجل- بسيط,حادث دهس رجل - بسيط,1004,دهس رجل,بسيط,pedestrian collision involving man,minor,pedestrian_collision_man,minor,1,true,true,,translated_reviewed,
حادث صدم شجرة- بسيط,حادث صدم شجرة - بسيط,970,صدم شجرة,بسيط,hit tree,minor,hit_tree,minor,1,true,true,,translated_reviewed,
صدم جسم في الشارع - بسيط,صدم جسم في الشارع - بسيط,940,صدم جسم في الشارع,بسيط,hit object in road,minor,hit_object_in_road,minor,1,true,true,,translated_reviewed,
صدم مبنى - بسيط,صدم مبنى - بسيط,869,صدم مبنى,بسيط,hit building,minor,hit_building,minor,1,true,true,,translated_reviewed,
تدهور دراجة هوائية - بسيط,تدهور دراجة هوائية - بسيط,843,تدهور دراجة هوائية,بسيط,bicycle rollover,minor,bicycle_rollover,minor,1,true,true,,translated_reviewed,
حادث تدهور دراجة- بليغ,حادث تدهور دراجة - بليغ,783,تدهور دراجة,بليغ,"two-wheeler rollover, unspecified",severe,two_wheeler_rollover_unspecified,severe,3,true,true,,reviewed_conservative,Arabic source says two-wheeler generically; retained without forcing bicycle vs motorcycle.
وجود بقعة زيت على الشارع - بسيط,وجود بقعة زيت على الشارع - بسيط,749,وجود بقعة زيت على الشارع,بسيط,oil spill on road,minor,oil_spill_on_road,minor,1,true,true,,translated_reviewed,
حادث تدهور مركبة ثقيلة- بسيط,حادث تدهور مركبة ثقيلة - بسيط,735,تدهور مركبة ثقيلة,بسيط,heavy vehicle rollover,minor,heavy_vehicle_rollover,minor,1,true,true,,translated_reviewed,
حريق مركبة أثناء سيرها,حريق مركبة أثناء سيرها,728,حريق مركبة أثناء سيرها,,vehicle fire while moving,not specified,vehicle_fire_while_moving,unknown,0,false,true,,translated_reviewed,
حادث تدهور دراجة- بسيط,حادث تدهور دراجة - بسيط,703,تدهور دراجة,بسيط,"two-wheeler rollover, unspecified",minor,two_wheeler_rollover_unspecified,minor,1,true,true,,reviewed_conservative,Arabic source says two-wheeler generically; retained without forcing bicycle vs motorcycle.
دهس وهروب - بسيط,دهس وهروب - بسيط,700,دهس وهروب,بسيط,pedestrian hit and run,minor,pedestrian_hit_and_run,minor,1,true,true,,translated_reviewed,
اصطدام بين شاحنة ومركبة - بسيط,اصطدام بين شاحنة ومركبة - بسيط,674,اصطدام بين شاحنة ومركبة,بسيط,truck and vehicle collision,minor,truck_vehicle_collision,minor,1,true,true,,translated_reviewed,
حادث تدهور مركبة خفيفة- بليغ,حادث تدهور مركبة خفيفة - بليغ,630,تدهور مركبة خفيفة,بليغ,light vehicle rollover,severe,light_vehicle_rollover,severe,3,true,true,,translated_reviewed,
حادث صدم دراجة- متوسط,حادث صدم دراجة - متوسط,525,صدم دراجة,متوسط,"hit two-wheeler, unspecified",moderate,hit_two_wheeler_unspecified,moderate,2,true,true,,reviewed_conservative,Arabic source says two-wheeler generically; retained without forcing bicycle vs motorcycle.
حادث صدم مبنى او بيوت او معرض- بسيط,حادث صدم مبنى او بيوت او معرض - بسيط,523,صدم مبنى او بيوت او معرض,بسيط,"hit building, house, or showroom",minor,hit_building_house_showroom,minor,1,true,true,,translated_reviewed,
حريق مركبة أثناء سيرها - بليغ,حريق مركبة أثناء سيرها - بليغ,487,حريق مركبة أثناء سيرها,بليغ,vehicle fire while moving,severe,vehicle_fire_while_moving,severe,3,true,true,,translated_reviewed,
دخول شاحنة في مكان ممنوع - بسيط,دخول شاحنة في مكان ممنوع - بسيط,482,دخول شاحنة في مكان ممنوع,بسيط,truck entering prohibited area,minor,truck_entering_prohibited_area,minor,1,true,true,,translated_reviewed,
صدم عمود - بليغ,صدم عمود - بليغ,433,صدم عمود,بليغ,hit pole,severe,hit_pole,severe,3,true,true,,translated_reviewed,
سقوط مركبة في حفرة - بسيط,سقوط مركبة في حفرة - بسيط,428,سقوط مركبة في حفرة,بسيط,vehicle falling into pit,minor,vehicle_falling_into_pit,minor,1,true,true,,translated_reviewed,
صدم حواجز - بسيط,صدم حواجز - بسيط,414,صدم حواجز,بسيط,hit barrier,minor,hit_barrier,minor,1,true,true,,translated_reviewed,
حادث صدم حاجز- بليغ,حادث صدم حاجز - بليغ,407,صدم حاجز,بليغ,hit barrier,severe,hit_barrier,severe,3,true,true,,translated_reviewed,
مشاهدة مركبة تسير عكس اتجاه السير - بسيط,مشاهدة مركبة تسير عكس اتجاه السير - بسيط,399,مشاهدة مركبة تسير عكس اتجاه السير,بسيط,vehicle driving against traffic,minor,wrong_way_vehicle,minor,1,true,true,,translated_reviewed,
صدم إشارة ضوئية - بسيط,صدم إشارة ضوئية - بسيط,398,صدم إشارة ضوئية,بسيط,hit traffic signal,minor,hit_traffic_signal,minor,1,true,true,,translated_reviewed,
تعطل مركبة عسكرية - بسيط,تعطل مركبة عسكرية - بسيط,392,تعطل مركبة عسكرية,بسيط,military vehicle breakdown,minor,military_vehicle_breakdown,minor,1,true,true,,translated_reviewed,
صدم رصيف - بليغ,صدم رصيف - بليغ,382,صدم رصيف,بليغ,hit curb,severe,hit_curb,severe,3,true,true,,translated_reviewed,
حادث اصطدام بين عدة سيارات- متوسط,حادث اصطدام بين عدة سيارات - متوسط,377,اصطدام بين عدة سيارات,متوسط,multi-vehicle collision,moderate,multi_vehicle_collision,moderate,2,true,true,,translated_reviewed,
تدهور مركبة ثقيلة - بليغ,تدهور مركبة ثقيلة - بليغ,375,تدهور مركبة ثقيلة,بليغ,heavy vehicle rollover,severe,heavy_vehicle_rollover,severe,3,true,true,,translated_reviewed,
تعطل مركبة نتيجة حادث مروري بسيط,تعطل مركبة نتيجة حادث مروري بسيط,362,تعطل مركبة نتيجة حادث مروري,بسيط,vehicle breakdown due to traffic accident,minor,vehicle_breakdown_due_to_accident,minor,1,true,true,,translated_reviewed,
اصطدام بين شاحنتين - بسيط,اصطدام بين شاحنتين - بسيط,353,اصطدام بين شاحنتين,بسيط,collision between two trucks,minor,two_truck_collision,minor,1,true,true,,translated_reviewed,
التسابق في الشارع العام - بسيط,التسابق في الشارع العام - بسيط,351,التسابق في الشارع العام,بسيط,street racing,minor,street_racing,minor,1,true,true,,translated_reviewed,
تم الغاء نوع الحدث3,تم الغاء نوع الحدث3,338,تم الغاء نوع الحدث3,,cancelled event type,not specified,cancelled_event_type,unknown,0,false,false,cancelled_event_type,reviewed_excluded,Administrative/cancelled source category; excluded from category-level EDA.
دهس وهروب - بليغ,دهس وهروب - بليغ,336,دهس وهروب,بليغ,pedestrian hit and run,severe,pedestrian_hit_and_run,severe,3,true,true,,translated_reviewed,
الصدم والهروب - بليغ,الصدم والهروب - بليغ,335,الصدم والهروب,بليغ,hit and run,severe,hit_and_run,severe,3,true,true,,translated_reviewed,
سقوط حمولة من على مركبة أثناء سيرها - بسيط,سقوط حمولة من على مركبة أثناء سيرها - بسيط,335,سقوط حمولة من على مركبة أثناء سيرها,بسيط,load falling from moving vehicle,minor,load_falling_from_vehicle,minor,1,true,true,,translated_reviewed,
حادث صدم حيوان-بسيط,حادث صدم حيوان - بسيط,294,صدم حيوان,بسيط,hit animal,minor,hit_animal,minor,1,true,true,,translated_reviewed,
حادث دهس امراة- بليغ,حادث دهس امراة - بليغ,264,دهس امراة,بليغ,pedestrian collision involving woman,severe,pedestrian_collision_woman,severe,3,true,true,,translated_reviewed,
حادث دهس امراة- بسيط,حادث دهس امراة - بسيط,261,دهس امراة,بسيط,pedestrian collision involving woman,minor,pedestrian_collision_woman,minor,1,true,true,,translated_reviewed,
حادث حريق في مركبة- بليغ,حادث حريق في مركبة - بليغ,259,حريق في مركبة,بليغ,vehicle fire,severe,vehicle_fire,severe,3,true,true,,translated_reviewed,
اصطدام بين شاحنة ومركبة - بليغ,اصطدام بين شاحنة ومركبة - بليغ,257,اصطدام بين شاحنة ومركبة,بليغ,truck and vehicle collision,severe,truck_vehicle_collision,severe,3,true,true,,translated_reviewed,
صدم جدار - بليغ,صدم جدار - بليغ,247,صدم جدار,بليغ,hit wall,severe,hit_wall,severe,3,true,true,,translated_reviewed,
مسيرات احتفالية غير مرخصة - بسيط,مسيرات احتفالية غير مرخصة - بسيط,218,مسيرات احتفالية غير مرخصة,بسيط,unauthorized celebratory parade,minor,unauthorized_celebratory_parade,minor,1,true,true,,translated_reviewed,
سقوط مركبة في حفرة- بسيط,سقوط مركبة في حفرة - بسيط,214,سقوط مركبة في حفرة,بسيط,vehicle falling into pit,minor,vehicle_falling_into_pit,minor,1,true,true,,translated_reviewed,
حادث صدم عمود- بليغ,حادث صدم عمود - بليغ,202,صدم عمود,بليغ,hit pole,severe,hit_pole,severe,3,true,true,,translated_reviewed,
صدم مركبة عسكرية - بسيط,صدم مركبة عسكرية - بسيط,188,صدم مركبة عسكرية,بسيط,hit military vehicle,minor,hit_military_vehicle,minor,1,true,true,,translated_reviewed,
حادث تدهور مركبة ثقيلة- بليغ,حادث تدهور مركبة ثقيلة - بليغ,184,تدهور مركبة ثقيلة,بليغ,heavy vehicle rollover,severe,heavy_vehicle_rollover,severe,3,true,true,,translated_reviewed,
حادث صدم رصيف- بليغ,حادث صدم رصيف - بليغ,182,صدم رصيف,بليغ,hit curb,severe,hit_curb,severe,3,true,true,,translated_reviewed,
حادث صدم اشارة مرورية- بسيط,حادث صدم اشارة مرورية - بسيط,173,صدم اشارة مرورية,بسيط,hit traffic sign,minor,hit_traffic_sign,minor,1,true,true,,translated_reviewed,
حادث دهس رجل- متوسط,حادث دهس رجل - متوسط,170,دهس رجل,متوسط,pedestrian collision involving man,moderate,pedestrian_collision_man,moderate,2,true,true,,translated_reviewed,
حادث صدم حاجز- متوسط,حادث صدم حاجز - متوسط,159,صدم حاجز,متوسط,hit barrier,moderate,hit_barrier,moderate,2,true,true,,translated_reviewed,
مروري,مروري,133,مروري,,generic traffic event,not specified,generic_traffic_event,unknown,0,false,true,,reviewed_conservative,Very broad source category; retained as generic traffic event.
حادث تدهور دراجة- متوسط,حادث تدهور دراجة - متوسط,131,تدهور دراجة,متوسط,"two-wheeler rollover, unspecified",moderate,two_wheeler_rollover_unspecified,moderate,2,true,true,,reviewed_conservative,Arabic source says two-wheeler generically; retained without forcing bicycle vs motorcycle.
حادث دهس طفل- بليغ,حادث دهس طفل - بليغ,130,دهس طفل,بليغ,pedestrian collision involving child,severe,pedestrian_collision_child,severe,3,true,true,,translated_reviewed,
حادث اصطدام بين سيارتين,حادث اصطدام بين سيارتين,129,اصطدام بين سيارتين,,two-vehicle collision,not specified,two_vehicle_collision,unknown,0,false,true,,translated_reviewed,
حادث دهس طفل- بسيط,حادث دهس طفل - بسيط,126,دهس طفل,بسيط,pedestrian collision involving child,minor,pedestrian_collision_child,minor,1,true,true,,translated_reviewed,
حادث صدم جدار- بليغ,حادث صدم جدار - بليغ,120,صدم جدار,بليغ,hit wall,severe,hit_wall,severe,3,true,true,,translated_reviewed,
اصطدام بين شاحنتين - بليغ,اصطدام بين شاحنتين - بليغ,116,اصطدام بين شاحنتين,بليغ,collision between two trucks,severe,two_truck_collision,severe,3,true,true,,translated_reviewed,
حادث صدم رصيف- متوسط,حادث صدم رصيف - متوسط,114,صدم رصيف,متوسط,hit curb,moderate,hit_curb,moderate,2,true,true,,translated_reviewed,
صدم جسر من شاحنة عالية الارتفاع - بسيط,صدم جسر من شاحنة عالية الارتفاع - بسيط,104,صدم جسر من شاحنة عالية الارتفاع,بسيط,bridge strike by over-height truck,minor,bridge_strike_overheight_truck,minor,1,true,true,,translated_reviewed,
حادث حريق في مركبة- متوسط,حادث حريق في مركبة - متوسط,100,حريق في مركبة,متوسط,vehicle fire,moderate,vehicle_fire,moderate,2,true,true,,translated_reviewed,
صدم شجرة - بليغ,صدم شجرة - بليغ,84,صدم شجرة,بليغ,hit tree,severe,hit_tree,severe,3,true,true,,translated_reviewed,
حادث تدهور مركبة خفيفة- متوسط,حادث تدهور مركبة خفيفة - متوسط,84,تدهور مركبة خفيفة,متوسط,light vehicle rollover,moderate,light_vehicle_rollover,moderate,2,true,true,,translated_reviewed,
انفصال مقطورة عن مركبة أثناء سيرها - بسيط,انفصال مقطورة عن مركبة أثناء سيرها - بسيط,77,انفصال مقطورة عن مركبة أثناء سيرها,بسيط,trailer detached from moving vehicle,minor,trailer_detached_from_vehicle,minor,1,true,true,,translated_reviewed,
حادث صدم عمود- متوسط,حادث صدم عمود - متوسط,70,صدم عمود,متوسط,hit pole,moderate,hit_pole,moderate,2,true,true,,translated_reviewed,
حادث صدم و هروب- بليغ,حادث صدم و هروب - بليغ,69,صدم و هروب,بليغ,hit and run,severe,hit_and_run,severe,3,true,true,,translated_reviewed,
سقوط شخص من مركبة أثناء سيرها - بسيط,سقوط شخص من مركبة أثناء سيرها - بسيط,61,سقوط شخص من مركبة أثناء سيرها,بسيط,person falling from moving vehicle,minor,person_falling_from_vehicle,minor,1,true,true,,translated_reviewed,
صدم مركبة نقل أموال - بسيط,صدم مركبة نقل أموال - بسيط,59,صدم مركبة نقل أموال,بسيط,hit cash transport vehicle,minor,hit_cash_transport_vehicle,minor,1,true,true,,translated_reviewed,
حادث دهس امراة- متوسط,حادث دهس امراة - متوسط,50,دهس امراة,متوسط,pedestrian collision involving woman,moderate,pedestrian_collision_woman,moderate,2,true,true,,translated_reviewed,
حوادث مرورية اخرى,حوادث مرورية اخرى,48,حوادث مرورية اخرى,,other traffic incident,not specified,other_traffic_incident,unknown,0,false,true,,translated_reviewed,
ازدحام في المنافذ الحدودية - بسيط,ازدحام في المنافذ الحدودية - بسيط,48,ازدحام في المنافذ الحدودية,بسيط,border crossing congestion,minor,border_crossing_congestion,minor,1,true,true,,translated_reviewed,
تعطل مركبة نقل موقوفين أو مساجين - بسيط,تعطل مركبة نقل موقوفين أو مساجين - بسيط,45,تعطل مركبة نقل موقوفين أو مساجين,بسيط,detainee transport vehicle breakdown,minor,detainee_transport_vehicle_breakdown,minor,1,true,true,,translated_reviewed,
سقوط مركبة من ارتفاع - بسيط,سقوط مركبة من ارتفاع - بسيط,44,سقوط مركبة من ارتفاع,بسيط,vehicle falling from height,minor,vehicle_falling_from_height,minor,1,true,true,,translated_reviewed,
تعطل مثبت السرعة - بسيط,تعطل مثبت السرعة - بسيط,41,تعطل مثبت السرعة,بسيط,cruise control malfunction,minor,cruise_control_malfunction,minor,1,true,true,,translated_reviewed,
سقوط حاوية- بسيط,سقوط حاوية - بسيط,40,سقوط حاوية,بسيط,container fall,minor,container_fall,minor,1,true,true,,translated_reviewed,
اصطدام بين حافلة نقل عمال ومركبة - بليغ,اصطدام بين حافلة نقل عمال ومركبة - بليغ,40,اصطدام بين حافلة نقل عمال ومركبة,بليغ,worker bus and vehicle collision,severe,worker_bus_vehicle_collision,severe,3,true,true,,translated_reviewed,
اصطدام بين حافلة مدرسية ومركبة - بسيط,اصطدام بين حافلة مدرسية ومركبة - بسيط,40,اصطدام بين حافلة مدرسية ومركبة,بسيط,school bus and vehicle collision,minor,school_bus_vehicle_collision,minor,1,true,true,,translated_reviewed,
وجود حفرة في الطريق - بسيط,وجود حفرة في الطريق - بسيط,38,وجود حفرة في الطريق,بسيط,hole in road,minor,hole_in_road,minor,1,true,true,,translated_reviewed,
اصطدام بين حافلة نقل عمال ومركبة - بسيط,اصطدام بين حافلة نقل عمال ومركبة - بسيط,36,اصطدام بين حافلة نقل عمال ومركبة,بسيط,worker bus and vehicle collision,minor,worker_bus_vehicle_collision,minor,1,true,true,,translated_reviewed,
